case_id,variable,value,unit,status
A,total_assets,1000000,BRL,COMPROVADO_FICTICIO
A,total_liabilities,300000,BRL,COMPROVADO_FICTICIO
A,short_term_assets,30000,BRL,COMPROVADO_FICTICIO
A,short_term_liabilities,60000,BRL,COMPROVADO_FICTICIO
A,long_term_receivables,70000,BRL,COMPROVADO_FICTICIO
A,financial_assets,100000,BRL,COMPROVADO_FICTICIO
A,invested_assets,450000,BRL,COMPROVADO_FICTICIO
A,monthly_net_income,15000,BRL,COMPROVADO_FICTICIO
A,monthly_total_expenses_ex_debt,8000,BRL,COMPROVADO_FICTICIO
A,monthly_essential_expenses,7000,BRL,COMPROVADO_FICTICIO
A,monthly_debt_service,6000,BRL,COMPROVADO_FICTICIO
A,monthly_passive_income,1500,BRL,COMPROVADO_FICTICIO
A,monthly_available_to_invest,1000,BRL,COMPROVADO_FICTICIO
B,total_assets,300000,BRL,COMPROVADO_FICTICIO
B,total_liabilities,300000,BRL,COMPROVADO_FICTICIO
C,short_term_liabilities,0,BRL,COMPROVADO_FICTICIO
D,monthly_net_income,0,BRL,COMPROVADO_FICTICIO
E,total_debt_balance,,BRL,NAO_INFORMADO
