campo,categoria,periodicidade,status,valor,data_base,fonte,observacao
prestacao_ou_aluguel,moradia,mensal,,,,,
condominio,moradia,mensal,,,,,
iptu,moradia,anual,,,,,
seguro_mip,moradia,mensal,,,,,
seguro_dfi,moradia,mensal,,,,,
outro_seguro,moradia,mensal,,,,,
tarifa_administracao,moradia,mensal,,,,,
manutencao_provisionada,moradia,mensal,,,,,
agua,ocupacao,mensal,,,,,
energia,ocupacao,mensal,,,,,
gas,ocupacao,mensal,,,,,
internet,ocupacao,mensal,,,,,
estacionamento,ocupacao,mensal,,,,,
deslocamento_incremental,ocupacao,mensal,,,,,
mudanca,transicao,unica,,,,,
caucao_ou_garantia,transicao,unica,,,,,
mobilia_essencial,transicao,unica,,,,,
adaptacoes,transicao,unica,,,,,
saldo_devedor,financiamento,pontual,,,,,
valor_imovel,patrimonio,pontual,,,,,
renda_liquida_disponivel,renda,mensal,,,,,
liquidez_disponivel,liquidez,pontual,,,,,
