variavel,antes_evento,efeito_direto_indenizacao,depois_evento,status_observacao
ativos_liquidos,DADO_AUSENTE,100000,ATIVOS_LIQUIDOS_ANTES+100000,FORMULA
outros_ativos,DADO_AUSENTE,0,IGUAL_A_ANTES,DADO_AUSENTE
ativos_totais,DADO_AUSENTE,100000,ATIVOS_TOTAIS_ANTES+100000,FORMULA
passivos_totais,DADO_AUSENTE,0,IGUAL_A_ANTES,DADO_AUSENTE
passivos_curto_prazo,DADO_AUSENTE,0,IGUAL_A_ANTES,DADO_AUSENTE
patrimonio_liquido,NAO_CALCULAVEL,100000,PL_ANTES+100000,FORMULA
renda_liquida_mensal,DADO_AUSENTE,0,IGUAL_A_ANTES,NAO_RECORRENTE
despesas_essenciais_mensais,DADO_AUSENTE,0,IGUAL_A_ANTES,DADO_AUSENTE
servico_mensal_divida,DADO_AUSENTE,0,IGUAL_A_ANTES_ATE_INTERVENCAO,DADO_AUSENTE
fluxo_livre_mensal,NAO_CALCULAVEL,0,IGUAL_A_ANTES_ATE_INTERVENCAO,FORMULA
reserva_previa,DADO_AUSENTE,0,DADO_AUSENTE,DADO_AUSENTE
capital_extraordinario,0,100000,100000,CONFIRMADO
